match_id,match_date,year,round,venue,home_team,away_team,home_score,away_score,home_win,match_result,home_margin,is_draw,crowd,home_rest_days,home_win_streak_pre,home_win_rate_l3,home_avg_pf_l3,home_avg_pa_l3,home_avg_margin_l3,home_games_l3,home_win_rate_l5,home_avg_pf_l5,home_avg_pa_l5,home_avg_margin_l5,home_games_l5,home_win_rate_l8,home_avg_pf_l8,home_avg_pa_l8,home_avg_margin_l8,home_games_l8,home_ladder_points_pre,home_season_games_pre,home_ladder_pct_pre,away_rest_days,away_win_streak_pre,away_win_rate_l3,away_avg_pf_l3,away_avg_pa_l3,away_avg_margin_l3,away_games_l3,away_win_rate_l5,away_avg_pf_l5,away_avg_pa_l5,away_avg_margin_l5,away_games_l5,away_win_rate_l8,away_avg_pf_l8,away_avg_pa_l8,away_avg_margin_l8,away_games_l8,away_ladder_points_pre,away_season_games_pre,away_ladder_pct_pre,h2h_home_win_rate,h2h_games,rest_days_diff,ladder_pct_diff,form_margin_diff_l5,home_state,away_state,is_interstate,venue_code
19830409_CarltonBlues_CollingwoodMagpies,1983-04-09,1983,3,Waverley Park,Carlton Blues,Collingwood Magpies,97,87,1,home_win,10,0,69596.0,7.0,0,0.5,109.0,87.5,21.5,2.0,0.5,109.0,87.5,21.5,2.0,0.5,109.0,87.5,21.5,2.0,4.0,2,0.5,7.0,0,0.5,115.5,113.0,2.5,2.0,0.5,115.5,113.0,2.5,2.0,0.5,115.5,113.0,2.5,2.0,4.0,2,0.5,0.5,0,0.0,0.0,19.0,VIC,VIC,0,33
19830409_WesternBulldogs_MelbourneDemons,1983-04-09,1983,3,Western Oval,Western Bulldogs,Melbourne Demons,111,79,1,home_win,32,0,20485.0,7.0,1,0.5,87.0,94.0,-7.0,2.0,0.5,87.0,94.0,-7.0,2.0,0.5,87.0,94.0,-7.0,2.0,4.0,2,0.5,7.0,1,0.5,122.0,117.5,4.5,2.0,0.5,122.0,117.5,4.5,2.0,0.5,122.0,117.5,4.5,2.0,4.0,2,0.5,0.5,0,0.0,0.0,-11.5,VIC,VIC,0,34
19830409_FitzroyLions_EssendonBombers,1983-04-09,1983,3,Junction Oval,Fitzroy Lions,Essendon Bombers,97,56,1,home_win,41,0,21478.0,5.0,1,0.5,100.0,87.0,13.0,2.0,0.5,100.0,87.0,13.0,2.0,0.5,100.0,87.0,13.0,2.0,4.0,2,0.5,5.0,1,0.5,120.5,90.5,30.0,2.0,0.5,120.5,90.5,30.0,2.0,0.5,120.5,90.5,30.0,2.0,4.0,2,0.5,0.5,0,0.0,0.0,-17.0,VIC,VIC,0,14
19830409_StKildaSaints_HawthornHawks,1983-04-09,1983,3,Moorabbin Oval,St Kilda Saints,Hawthorn Hawks,42,171,0,away_win,-129,0,19227.0,5.0,0,0.0,78.5,115.5,-37.0,2.0,0.0,78.5,115.5,-37.0,2.0,0.0,78.5,115.5,-37.0,2.0,0.0,2,0.0,5.0,2,1.0,100.5,78.5,22.0,2.0,1.0,100.5,78.5,22.0,2.0,1.0,100.5,78.5,22.0,2.0,8.0,2,1.0,0.5,0,0.0,-1.0,-59.0,VIC,VIC,0,19
19830409_GeelongCats_RichmondTigers,1983-04-09,1983,3,GMHBA Stadium,Geelong Cats,Richmond Tigers,94,46,1,home_win,48,0,21269.0,7.0,2,1.0,103.5,85.5,18.0,2.0,1.0,103.5,85.5,18.0,2.0,1.0,103.5,85.5,18.0,2.0,8.0,2,1.0,7.0,0,0.0,88.0,127.5,-39.5,2.0,0.0,88.0,127.5,-39.5,2.0,0.0,88.0,127.5,-39.5,2.0,0.0,2,0.0,0.5,0,0.0,1.0,57.5,VIC,VIC,0,11
19830410_SydneySwans_NorthMelbourneKangaroos,1983-04-10,1983,3,Sydney Cricket Ground,Sydney Swans,North Melbourne Kangaroos,45,185,0,away_win,-140,0,11831.0,6.0,0,0.5,78.0,90.0,-12.0,2.0,0.5,78.0,90.0,-12.0,2.0,0.5,78.0,90.0,-12.0,2.0,4.0,2,0.5,6.0,0,0.5,71.5,87.5,-16.0,2.0,0.5,71.5,87.5,-16.0,2.0,0.5,71.5,87.5,-16.0,2.0,4.0,2,0.5,0.5,0,0.0,0.0,4.0,NSW,VIC,1,26
19830416_EssendonBombers_CollingwoodMagpies,1983-04-16,1983,4,Windy Hill,Essendon Bombers,Collingwood Magpies,141,117,1,home_win,24,0,28250.0,7.0,0,0.3333333333333333,99.0,92.66666666666667,6.333333333333333,3.0,0.3333333333333333,99.0,92.66666666666667,6.333333333333333,3.0,0.3333333333333333,99.0,92.66666666666667,6.333333333333333,3.0,4.0,3,0.3333333333333333,7.0,0,0.3333333333333333,106.0,107.66666666666667,-1.6666666666666667,3.0,0.3333333333333333,106.0,107.66666666666667,-1.6666666666666667,3.0,0.3333333333333333,106.0,107.66666666666667,-1.6666666666666667,3.0,4.0,3,0.3333333333333333,0.5,0,0.0,0.0,8.0,VIC,VIC,0,36
19830416_FitzroyLions_SydneySwans,1983-04-16,1983,4,Junction Oval,Fitzroy Lions,Sydney Swans,125,52,1,home_win,73,0,10738.0,7.0,2,0.6666666666666666,99.0,76.66666666666667,22.333333333333332,3.0,0.6666666666666666,99.0,76.66666666666667,22.333333333333332,3.0,0.6666666666666666,99.0,76.66666666666667,22.333333333333332,3.0,8.0,3,0.6666666666666666,6.0,0,0.3333333333333333,67.0,121.66666666666667,-54.666666666666664,3.0,0.3333333333333333,67.0,121.66666666666667,-54.666666666666664,3.0,0.3333333333333333,67.0,121.66666666666667,-54.666666666666664,3.0,4.0,3,0.3333333333333333,0.5,0,1.0,0.3333333333333333,77.0,VIC,NSW,1,14
19830416_HawthornHawks_WesternBulldogs,1983-04-16,1983,4,Princes Park,Hawthorn Hawks,Western Bulldogs,97,118,0,away_win,-21,0,16504.0,7.0,3,1.0,124.0,66.33333333333333,57.666666666666664,3.0,1.0,124.0,66.33333333333333,57.666666666666664,3.0,1.0,124.0,66.33333333333333,57.666666666666664,3.0,12.0,3,1.0,7.0,2,0.6666666666666666,95.0,89.0,6.0,3.0,0.6666666666666666,95.0,89.0,6.0,3.0,0.6666666666666666,95.0,89.0,6.0,3.0,8.0,3,0.6666666666666666,0.5,0,0.0,0.33333333333333337,51.666666666666664,VIC,VIC,0,24
19830416_MelbourneDemons_CarltonBlues,1983-04-16,1983,4,Melbourne Cricket Ground,Melbourne Demons,Carlton Blues,90,99,0,away_win,-9,0,38544.0,7.0,0,0.3333333333333333,107.66666666666667,115.33333333333333,-7.666666666666667,3.0,0.3333333333333333,107.66666666666667,115.33333333333333,-7.666666666666667,3.0,0.3333333333333333,107.66666666666667,115.33333333333333,-7.666666666666667,3.0,4.0,3,0.3333333333333333,7.0,1,0.6666666666666666,105.0,87.33333333333333,17.666666666666668,3.0,0.6666666666666666,105.0,87.33333333333333,17.666666666666668,3.0,0.6666666666666666,105.0,87.33333333333333,17.666666666666668,3.0,8.0,3,0.6666666666666666,0.5,0,0.0,-0.3333333333333333,-25.333333333333336,VIC,VIC,0,18
